id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,type,stay_category
730927939279957069,Thon buri,13.71489,100.47744,Entire home/apt,1200,14,2,2,booked,medium-term
725646992502131163,Ratchathewi,13.75493,100.56273,Entire home/apt,1514,7,1,1,booked,medium-term
730928122024507105,Ratchathewi,13.75391,100.56239,Entire home/apt,1327,7,0,0,not booked,medium-term
730930733470505167,Ratchathewi,13.75315,100.5644,Entire home/apt,1327,3,0,0,not booked,short-term
725688675484228649,Khlong Toei,13.71188,100.59346,Private room,1956,2,1,1,booked,short-term
730932853899522561,Phasi Charoen,13.71628,100.45495,Private room,950,1,1,1,booked,short-term
730940723526624101,Bang Na,13.6789,100.61273,Entire home/apt,630,3,2,2,booked,short-term
730993682661364260,Khlong Toei,13.72257,100.56219,Private room,9361,1,0,0,not booked,short-term
731059903984552489,Khlong Toei,13.72235,100.56165,Private room,2214,1,0,0,not booked,short-term
731070319292255558,Khlong Toei,13.72265,100.56125,Private room,9000,1,0,0,not booked,short-term
731367820575963544,Huai Khwang,13.75625,100.5712,Entire home/apt,1483,1,2,2,booked,short-term
731528611767990834,Parthum Wan,13.7407,100.54064,Entire home/apt,2257,30,1,1,booked,long-term
733972343145951879,Huai Khwang,13.756786953984673,100.56885235011578,Entire home/apt,1884,1,2,2,booked,short-term
725692201350126413,Khlong San,13.7208,100.49307,Entire home/apt,1364,29,1,1,booked,long-term
725720912568322251,Khlong Toei,13.72661,100.5664,Entire home/apt,1563,1,3,3,booked,short-term
725752723385978764,Khlong San,13.72165,100.49618,Entire home/apt,800,28,1,1,booked,long-term
725768336424117962,Phra Nakhon,13.75522,100.50121,Private room,1500,1,2,2,booked,short-term
725772289964300640,Bang Phlat,13.78699,100.49855,Entire home/apt,2207,3,4,4,booked,short-term
725785902415540985,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1600,1,4,4,booked,short-term
725790132702788921,Khlong Toei,13.723788005702012,100.57253030370482,Private room,4496,1,2,2,booked,short-term
734312346364080101,Pom Prap Sattru Phai,13.7554488,100.5144627,Private room,1000,180,1,1,booked,long-term
731566770928759750,Phra Khanong,13.70582694501948,100.60475331349184,Private room,3700,1,3,3,booked,short-term
731570023139493018,Parthum Wan,13.7397212,100.5415846,Entire home/apt,2129,28,0,0,not booked,long-term
725793110178400017,Parthum Wan,13.74264,100.55042,Entire home/apt,8029,1,0,0,not booked,short-term
734418925875451461,Khlong Sam Wa,13.8588331,100.6953498,Entire home/apt,6429,1,0,0,not booked,short-term
725879625704951265,Huai Khwang,13.78410093911588,100.58492079377174,Entire home/apt,772,3,2,2,booked,short-term
726156247782593576,Chatu Chak,13.815809642028224,100.56286130100489,Entire home/apt,2490,60,1,1,booked,long-term
726244963268262148,Khlong Toei,13.72775,100.56436,Entire home/apt,1200,30,1,1,booked,long-term
726245419628122345,Khlong Toei,13.72762,100.56408,Entire home/apt,1200,30,0,0,not booked,long-term
726304300268208081,Khlong Toei,13.72233,100.5774,Entire home/apt,1214,1,3,3,booked,short-term
726428898616732621,Phaya Thai,13.795563246382324,100.5501008377787,Private room,6000,30,0,0,not booked,long-term
726445727890873309,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1600,1,1,1,booked,short-term
726482735199984872,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1600,1,3,3,booked,short-term
726498811034581375,Bang Phlat,13.7866,100.4987,Entire home/apt,1100,10,3,3,booked,medium-term
726512577261594963,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1886,1,3,3,booked,short-term
726514668883381419,Bueng Kum,13.83331,100.63705,Entire home/apt,3100,1,2,2,booked,short-term
726532593187844897,Bang Phlat,13.7863,100.49864,Entire home/apt,700,10,2,2,booked,medium-term
726555865659194592,Suanluang,13.70985,100.60625,Entire home/apt,650,1,18,18,booked,short-term
731575434826121780,Sathon,13.71036,100.5213,Entire home/apt,1103,1,1,1,booked,short-term
726562266531347735,Bang Phlat,13.78666,100.49862,Entire home/apt,1100,10,2,2,booked,medium-term
726666084999733015,Parthum Wan,13.73549,100.53854,Entire home/apt,2000,7,1,1,booked,medium-term
731593937554078452,Ratchathewi,13.75303,100.56417,Entire home/apt,1327,7,0,0,not booked,medium-term
731607653679996481,Ratchathewi,13.75514,100.56408,Entire home/apt,1327,7,0,0,not booked,medium-term
726753778926909646,Vadhana,13.72964,100.59012,Entire home/apt,3429,4,4,4,booked,medium-term
731609444532377918,Ratchathewi,13.75508,100.56424,Entire home/apt,1327,7,2,2,booked,medium-term
731610025822909830,Sathon,13.7101,100.5219,Entire home/apt,1103,1,7,7,booked,short-term
731613206256471300,Sathon,13.7087,100.52157,Entire home/apt,1088,1,4,4,booked,short-term
726761664816509997,Phra Khanong,13.690595,100.6112547,Entire home/apt,500,4,4,4,booked,medium-term
